"","species","set_type","EEZ","Country","PNA_country","EEZ_catch"
"302","YFT","UNA","Fijian Exclusive Economic Zone","Fiji",FALSE,1089.319
"303","YFT","UNA","High Seas",NA,FALSE,301811.367
"304","YFT","UNA","Howland and Baker Island Exclusive Economic Zone","Howland Island and Baker Island",FALSE,2656.821
"305","YFT","UNA","Indonesian Exclusive Economic Zone","Indonesia",FALSE,84047.712
"306","YFT","UNA","Japanese Exclusive Economic Zone","Japan",FALSE,1172.92
"307","YFT","UNA","Kiribati Exclusive Economic Zone","Kiribati",TRUE,39899.367
"308","YFT","UNA","Kiribati Exclusive Economic Zone (Line Group)","Line Group",TRUE,0
"309","YFT","UNA","Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group",TRUE,21544.406
"310","YFT","UNA","Marshall Islands Exclusive Economic Zone","Marshall Islands",TRUE,755.834
"311","YFT","UNA","Micronesian Exclusive Economic Zone","Micronesia",TRUE,22842.865
"312","YFT","UNA","Nauruan Exclusive Economic Zone","Nauru",TRUE,29498.593
"313","YFT","UNA","New Zealand Exclusive Economic Zone","New Zealand",FALSE,0
"314","YFT","UNA","Palau Exclusive Economic Zone","Palau",TRUE,12121.635
"315","YFT","UNA","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,403218.985
"316","YFT","UNA","Paracel Islands Exclusive Economic Zone","Paracel Islands",FALSE,3351.735
"317","YFT","UNA","Philippines Exclusive Economic Zone","Philippines",FALSE,10950.213
"318","YFT","UNA","Solomon Islands Exclusive Economic Zone","Solomon Islands",TRUE,57804.67
"319","YFT","UNA","South Korean Exclusive Economic Zone","South Korea",FALSE,0
"320","YFT","UNA","Spratly Islands Exclusive Economic Zone","Spratly Islands",FALSE,3351.667
"321","YFT","UNA","Tokelau Exclusive Economic Zone","Tokelau",FALSE,2358.762
