"","EEZ","Country","PNA_country","set_type","EEZ_total_catch","EEZ_total_days","LON5_D","LAT5_D"
"159","Micronesian Exclusive Economic Zone","Micronesia",TRUE,"UNA",6423.199,390.81,150,5
"160","Micronesian Exclusive Economic Zone","Micronesia",TRUE,"UNA",129939.769,11321.25,155,0
"161","Micronesian Exclusive Economic Zone","Micronesia",TRUE,"UNA",3794.488,215.1,155,5
"162","Micronesian Exclusive Economic Zone","Micronesia",TRUE,"UNA",2873.303,212.58,160,5
"163","Nauruan Exclusive Economic Zone","Nauru",TRUE,"ASS",95446.966,8187.25,165,0
"164","Nauruan Exclusive Economic Zone","Nauru",TRUE,"OTH",0,8187.25,165,0
"165","Nauruan Exclusive Economic Zone","Nauru",TRUE,"UNA",102055.809,8187.25,165,0
"166","New Zealand Exclusive Economic Zone","New Zealand",FALSE,"ASS",0,93.63,170,-40
"167","New Zealand Exclusive Economic Zone","New Zealand",FALSE,"ASS",0,567.99,175,-40
"168","New Zealand Exclusive Economic Zone","New Zealand",FALSE,"OTH",0,93.63,170,-40
"169","New Zealand Exclusive Economic Zone","New Zealand",FALSE,"OTH",0,567.99,175,-40
"170","New Zealand Exclusive Economic Zone","New Zealand",FALSE,"UNA",4993.311,93.63,170,-40
"171","New Zealand Exclusive Economic Zone","New Zealand",FALSE,"UNA",20269.901,567.99,175,-40
"172","Palau Exclusive Economic Zone","Palau",TRUE,"ASS",77913.228,36210.1,130,5
"173","Palau Exclusive Economic Zone","Palau",TRUE,"ASS",3895.702,121.91,135,5
"174","Palau Exclusive Economic Zone","Palau",TRUE,"OTH",0,36210.1,130,5
"175","Palau Exclusive Economic Zone","Palau",TRUE,"OTH",0,121.91,135,5
"176","Palau Exclusive Economic Zone","Palau",TRUE,"UNA",46747.4,36210.1,130,5
"177","Palau Exclusive Economic Zone","Palau",TRUE,"UNA",919.791,121.91,135,5
"178","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,"ASS",2749.964,824.55,145,-10
"179","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,"ASS",108425.693,12249.81,145,0
"180","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,"ASS",54033.987,8775.33,150,-10
"181","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,"ASS",162956.567,23445.88,150,-5
"182","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,"ASS",116230.249,14231.68,150,0
"183","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,"ASS",115934.058,10020.97,155,-10
"184","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,"ASS",285895.926,30625.41,155,-5
"185","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,"OTH",0,824.55,145,-10
"186","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,"OTH",0,12249.81,145,0
"187","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,"OTH",0,8775.33,150,-10
"188","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,"OTH",0,23445.88,150,-5
"189","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,"OTH",0,14231.68,150,0
"190","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,"OTH",0,10020.97,155,-10
"191","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,"OTH",0,30625.41,155,-5
"192","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,"UNA",3696.687,824.55,145,-10
"193","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,"UNA",227679.963,12249.81,145,0
"194","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,"UNA",121856.317,8775.33,150,-10
"195","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,"UNA",247913.037,23445.88,150,-5
"196","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,"UNA",205246.008,14231.68,150,0
"197","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,"UNA",96424.829,10020.97,155,-10
"198","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,"UNA",340934.26,30625.41,155,-5
"199","Paracel Islands Exclusive Economic Zone","Paracel Islands",FALSE,"ASS",13385.4,13875,115,15
"200","Paracel Islands Exclusive Economic Zone","Paracel Islands",FALSE,"OTH",0,13875,115,15
"201","Paracel Islands Exclusive Economic Zone","Paracel Islands",FALSE,"UNA",12329.52,13875,115,15
"202","Philippines Exclusive Economic Zone","Philippines",FALSE,"ASS",29739.55,17385.26,120,5
"203","Philippines Exclusive Economic Zone","Philippines",FALSE,"ASS",21546.974,10301.95,125,5
"204","Philippines Exclusive Economic Zone","Philippines",FALSE,"OTH",0,17385.26,120,5
"205","Philippines Exclusive Economic Zone","Philippines",FALSE,"OTH",0,10301.95,125,5
"206","Philippines Exclusive Economic Zone","Philippines",FALSE,"UNA",25825.237,17385.26,120,5
"207","Philippines Exclusive Economic Zone","Philippines",FALSE,"UNA",12991.967,10301.95,125,5
"208","Solomon Islands Exclusive Economic Zone","Solomon Islands",TRUE,"ASS",6911.295,317.58,160,-15
"209","Solomon Islands Exclusive Economic Zone","Solomon Islands",TRUE,"ASS",128441.556,8596.92,160,-10
"210","Solomon Islands Exclusive Economic Zone","Solomon Islands",TRUE,"ASS",198336.816,14379.82,160,-5
"211","Solomon Islands Exclusive Economic Zone","Solomon Islands",TRUE,"ASS",79804.632,3931.03,165,-10
"212","Solomon Islands Exclusive Economic Zone","Solomon Islands",TRUE,"ASS",63730.724,2802.32,170,-10
