SA_fleet	species	age_quarters	selectivity
S-UNA-ALL-4	YFT	12	0.96
S-UNA-ALL-4	YFT	13	0.91
S-UNA-ALL-4	YFT	14	0.83
S-UNA-ALL-4	YFT	15	0.81
S-UNA-ALL-4	YFT	16	0.75
S-UNA-ALL-4	YFT	17	0.73
S-UNA-ALL-4	YFT	18	0.71
S-UNA-ALL-4	YFT	19	0.68
S-UNA-ALL-4	YFT	20	0.68
S-UNA-ALL-4	YFT	21	0.65
S-UNA-ALL-4	YFT	22	0.65
S-UNA-ALL-4	YFT	23	0.65
S-UNA-ALL-4	YFT	24	0.65
S-UNA-ALL-4	YFT	25	0.65
S-UNA-ALL-4	YFT	26	0.65
S-UNA-ALL-4	YFT	27	0.65
S-UNA-ALL-4	YFT	28	0.65
Misc-PH-7	YFT	1	1
Misc-PH-7	YFT	2	1
Misc-PH-7	YFT	3	0.73
Misc-PH-7	YFT	4	0.39
Misc-PH-7	YFT	5	0.21
Misc-PH-7	YFT	6	0.16
Misc-PH-7	YFT	7	0.14
Misc-PH-7	YFT	8	0.14
Misc-PH-7	YFT	9	0.14
Misc-PH-7	YFT	10	0.11
Misc-PH-7	YFT	11	0.08
Misc-PH-7	YFT	12	0.06
Misc-PH-7	YFT	13	0.04
Misc-PH-7	YFT	14	0.04
Misc-PH-7	YFT	15	0.04
Misc-PH-7	YFT	16	0.04
Misc-PH-7	YFT	17	0
Misc-PH-7	YFT	18	0
Misc-PH-7	YFT	19	0
Misc-PH-7	YFT	20	0
Misc-PH-7	YFT	21	0
Misc-PH-7	YFT	22	0
Misc-PH-7	YFT	23	0
Misc-PH-7	YFT	24	0
Misc-PH-7	YFT	25	0
Misc-PH-7	YFT	26	0
Misc-PH-7	YFT	27	0
Misc-PH-7	YFT	28	0
HL-ID-PH-7	YFT	1	0
HL-ID-PH-7	YFT	2	0
HL-ID-PH-7	YFT	3	0
HL-ID-PH-7	YFT	4	0
HL-ID-PH-7	YFT	5	0
HL-ID-PH-7	YFT	6	0.03
HL-ID-PH-7	YFT	7	0.06
HL-ID-PH-7	YFT	8	0.08
HL-ID-PH-7	YFT	9	0.13
HL-ID-PH-7	YFT	10	0.18
HL-ID-PH-7	YFT	11	0.26
HL-ID-PH-7	YFT	12	0.35
HL-ID-PH-7	YFT	13	0.46
HL-ID-PH-7	YFT	14	0.56
HL-ID-PH-7	YFT	15	0.65
HL-ID-PH-7	YFT	16	0.73
HL-ID-PH-7	YFT	17	0.8
HL-ID-PH-7	YFT	18	0.88
HL-ID-PH-7	YFT	19	0.93
HL-ID-PH-7	YFT	20	0.96
HL-ID-PH-7	YFT	21	0.98
HL-ID-PH-7	YFT	22	1
HL-ID-PH-7	YFT	23	1
HL-ID-PH-7	YFT	24	1
HL-ID-PH-7	YFT	25	1
HL-ID-PH-7	YFT	26	1
HL-ID-PH-7	YFT	27	1
HL-ID-PH-7	YFT	28	1
S-JP-1	YFT	1	0
S-JP-1	YFT	2	0
S-JP-1	YFT	3	0
S-JP-1	YFT	4	0
S-JP-1	YFT	5	0.03
S-JP-1	YFT	6	0.03
S-JP-1	YFT	7	0.06
S-JP-1	YFT	8	0.08
S-JP-1	YFT	9	0.08
S-JP-1	YFT	10	0.13
S-JP-1	YFT	11	0.18
S-JP-1	YFT	12	0.25
S-JP-1	YFT	13	0.33
S-JP-1	YFT	14	0.43
S-JP-1	YFT	15	0.55
S-JP-1	YFT	16	0.65
S-JP-1	YFT	17	0.75
S-JP-1	YFT	18	0.82
S-JP-1	YFT	19	0.87
S-JP-1	YFT	20	0.92
S-JP-1	YFT	21	0.95
S-JP-1	YFT	22	0.97
S-JP-1	YFT	23	1
S-JP-1	YFT	24	1
S-JP-1	YFT	25	1
S-JP-1	YFT	26	1
S-JP-1	YFT	27	1
S-JP-1	YFT	28	1
P-JP-1	YFT	1	0.03
P-JP-1	YFT	2	0.08
P-JP-1	YFT	3	0.3
P-JP-1	YFT	4	0.43
P-JP-1	YFT	5	0.4
P-JP-1	YFT	6	0.35
P-JP-1	YFT	7	0.38
P-JP-1	YFT	8	0.43
P-JP-1	YFT	9	0.48
P-JP-1	YFT	10	0.55
P-JP-1	YFT	11	0.63
P-JP-1	YFT	12	0.7
P-JP-1	YFT	13	0.78
P-JP-1	YFT	14	0.83
P-JP-1	YFT	15	0.87
P-JP-1	YFT	16	0.9
P-JP-1	YFT	17	0.95
P-JP-1	YFT	18	0.97
P-JP-1	YFT	19	0.97
P-JP-1	YFT	20	1
P-JP-1	YFT	21	1
P-JP-1	YFT	22	1
P-JP-1	YFT	23	1
P-JP-1	YFT	24	1
P-JP-1	YFT	25	1
P-JP-1	YFT	26	1
P-JP-1	YFT	27	1
P-JP-1	YFT	28	1
P-ALL-3	YFT	1	0.6
P-ALL-3	YFT	2	0.8
P-ALL-3	YFT	3	1
P-ALL-3	YFT	4	0.83
P-ALL-3	YFT	5	0.55
P-ALL-3	YFT	6	0.38
P-ALL-3	YFT	7	0.28
P-ALL-3	YFT	8	0.23
P-ALL-3	YFT	9	0.23
P-ALL-3	YFT	10	0.25
P-ALL-3	YFT	11	0.3
P-ALL-3	YFT	12	0.38
P-ALL-3	YFT	13	0.45
P-ALL-3	YFT	14	0.55
P-ALL-3	YFT	15	0.63
P-ALL-3	YFT	16	0.73
P-ALL-3	YFT	17	0.8
P-ALL-3	YFT	18	0.85
P-ALL-3	YFT	19	0.9
P-ALL-3	YFT	20	0.95
P-ALL-3	YFT	21	0.98
P-ALL-3	YFT	22	0.98
P-ALL-3	YFT	23	1
P-ALL-3	YFT	24	1
P-ALL-3	YFT	25	1
P-ALL-3	YFT	26	1
P-ALL-3	YFT	27	1
P-ALL-3	YFT	28	1
P-ALL-8	YFT	1	0.06
P-ALL-8	YFT	2	0.21
P-ALL-8	YFT	3	1
P-ALL-8	YFT	4	0.96
P-ALL-8	YFT	5	0.44
P-ALL-8	YFT	6	0.21
P-ALL-8	YFT	7	0.14
P-ALL-8	YFT	8	0.11
P-ALL-8	YFT	9	0.09
P-ALL-8	YFT	10	0.09
P-ALL-8	YFT	11	0.11
