SA_fleet	species	age_quarters	selectivity
L-ALL-5	BET	9	0.18
L-ALL-5	BET	10	0.31
L-ALL-5	BET	11	0.47
L-ALL-5	BET	12	0.63
L-ALL-5	BET	13	0.8
L-ALL-5	BET	14	0.93
L-ALL-5	BET	15	0.99
L-ALL-5	BET	16	1
L-ALL-5	BET	17	0.97
L-ALL-5	BET	18	0.91
L-ALL-5	BET	19	0.8
L-ALL-5	BET	20	0.68
L-ALL-5	BET	21	0.58
L-ALL-5	BET	22	0.49
L-ALL-5	BET	23	0.41
L-ALL-5	BET	24	0.34
L-ALL-5	BET	25	0.3
L-ALL-5	BET	26	0.25
L-ALL-5	BET	27	0.23
L-ALL-5	BET	28	0.19
L-ALL-5	BET	29	0.18
L-ALL-5	BET	30	0.16
L-ALL-5	BET	31	0.15
L-ALL-5	BET	32	0.15
L-ALL-5	BET	33	0.13
L-ALL-5	BET	34	0.13
L-ALL-5	BET	35	0.13
L-ALL-5	BET	36	0.13
L-ALL-5	BET	37	0.13
L-ALL-5	BET	38	0.13
L-ALL-5	BET	39	0.13
L-ALL-5	BET	40	0.13
L-ALL-6	BET	1	0
L-ALL-6	BET	2	0
L-ALL-6	BET	3	0
L-ALL-6	BET	4	0
L-ALL-6	BET	5	0
L-ALL-6	BET	6	0.03
L-ALL-6	BET	7	0.06
L-ALL-6	BET	8	0.11
L-ALL-6	BET	9	0.18
L-ALL-6	BET	10	0.31
L-ALL-6	BET	11	0.47
L-ALL-6	BET	12	0.64
L-ALL-6	BET	13	0.79
L-ALL-6	BET	14	0.91
L-ALL-6	BET	15	0.99
L-ALL-6	BET	16	1.01
L-ALL-6	BET	17	0.97
L-ALL-6	BET	18	0.89
L-ALL-6	BET	19	0.8
L-ALL-6	BET	20	0.69
L-ALL-6	BET	21	0.58
L-ALL-6	BET	22	0.48
L-ALL-6	BET	23	0.41
L-ALL-6	BET	24	0.34
L-ALL-6	BET	25	0.29
L-ALL-6	BET	26	0.26
L-ALL-6	BET	27	0.23
L-ALL-6	BET	28	0.2
L-ALL-6	BET	29	0.18
L-ALL-6	BET	30	0.17
L-ALL-6	BET	31	0.17
L-ALL-6	BET	32	0.15
L-ALL-6	BET	33	0.15
L-ALL-6	BET	34	0.15
L-ALL-6	BET	35	0.14
L-ALL-6	BET	36	0.14
L-ALL-6	BET	37	0.14
L-ALL-6	BET	38	0.14
L-ALL-6	BET	39	0.14
L-ALL-6	BET	40	0.14
S-ASS-ALL-3	BET	1	0.05
S-ASS-ALL-3	BET	2	0.08
S-ASS-ALL-3	BET	3	0.26
S-ASS-ALL-3	BET	4	0.72
S-ASS-ALL-3	BET	5	1
S-ASS-ALL-3	BET	6	0.75
S-ASS-ALL-3	BET	7	0.43
S-ASS-ALL-3	BET	8	0.27
S-ASS-ALL-3	BET	9	0.21
S-ASS-ALL-3	BET	10	0.23
S-ASS-ALL-3	BET	11	0.24
S-ASS-ALL-3	BET	12	0.2
S-ASS-ALL-3	BET	13	0.11
S-ASS-ALL-3	BET	14	0.04
S-ASS-ALL-3	BET	15	0
S-ASS-ALL-3	BET	16	0
S-ASS-ALL-3	BET	17	0
S-ASS-ALL-3	BET	18	0
S-ASS-ALL-3	BET	19	0
